SRS_ID,EXTRA,DATA_TYPE,COLUMN_KEY,TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,TABLE_SCHEMA,PRIVILEGES,NUMERIC_SCALE,TABLE_CATALOG,COLLATION_NAME,COLUMN_COMMENT,COLUMN_DEFAULT,ORDINAL_POSITION,NUMERIC_PRECISION,CHARACTER_SET_NAME,DATETIME_PRECISION,GENERATION_EXPRESSION,CHARACTER_OCTET_LENGTH,CHARACTER_MAXIMUM_LENGTH
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,GRANTEE,varchar(97),YES,information_schema,select,NULL,def,utf8mb4_0900_ai_ci,<blank>,NULL,3,NULL,utf8mb4,NULL,<blank>,388,97
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,GRANTEE_HOST,varchar(256),YES,information_schema,select,NULL,def,utf8mb4_0900_ai_ci,<blank>,NULL,4,NULL,utf8mb4,NULL,<blank>,1024,256
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,HOST,varchar(256),YES,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,2,NULL,utf8,NULL,<blank>,768,256
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,IS_DEFAULT,varchar(3),YES,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,8,NULL,utf8,NULL,<blank>,9,3
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,IS_GRANTABLE,varchar(3),NO,information_schema,select,NULL,def,utf8_general_ci,<blank>,<blank>,7,NULL,utf8,NULL,<blank>,9,3
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,IS_MANDATORY,varchar(3),NO,information_schema,select,NULL,def,utf8_general_ci,<blank>,<blank>,9,NULL,utf8,NULL,<blank>,9,3
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,ROLE_HOST,varchar(256),YES,information_schema,select,NULL,def,utf8mb4_0900_ai_ci,<blank>,NULL,6,NULL,utf8mb4,NULL,<blank>,1024,256
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,ROLE_NAME,varchar(255),YES,information_schema,select,NULL,def,utf8mb4_0900_ai_ci,<blank>,NULL,5,NULL,utf8mb4,NULL,<blank>,1020,255
NULL,<blank>,varchar,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,USER,varchar(97),YES,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,1,NULL,utf8,NULL,<blank>,291,97
NULL,<blank>,varchar,<blank>,APPLICABLE_ROLES,GRANTEE,varchar(97),YES,information_schema,select,NULL,def,utf8mb4_0900_ai_ci,<blank>,NULL,3,NULL,utf8mb4,NULL,<blank>,388,97
NULL,<blank>,varchar,<blank>,APPLICABLE_ROLES,GRANTEE_HOST,varchar(256),YES,information_schema,select,NULL,def,utf8mb4_0900_ai_ci,<blank>,NULL,4,NULL,utf8mb4,NULL,<blank>,1024,256
NULL,<blank>,varchar,<blank>,APPLICABLE_ROLES,HOST,varchar(256),YES,information_schema,select,NULL,def,utf8_general_ci,<blank>,NULL,2,NULL,utf8,NULL,<blank>,768,256
