TABLE_NAME,COLUMN_NAME,TABLE_SCHEMA,TABLE_CATALOG,ENGINE_ATTRIBUTE,SECONDARY_ENGINE_ATTRIBUTE
<blank>,GRANTEE,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,GRANTEE_HOST,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,HOST,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,IS_DEFAULT,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,IS_GRANTABLE,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,IS_MANDATORY,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,ROLE_HOST,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,ROLE_NAME,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,USER,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,GRANTEE,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,GRANTEE_HOST,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,HOST,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,IS_DEFAULT,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,IS_GRANTABLE,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,IS_MANDATORY,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,ROLE_HOST,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,ROLE_NAME,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,USER,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,CHARACTER_SET_NAME,<blank>,information_schema,def,CHARACTER_SETS
<blank>,DEFAULT_COLLATE_NAME,<blank>,information_schema,def,CHARACTER_SETS
<blank>,DESCRIPTION,<blank>,information_schema,def,CHARACTER_SETS
<blank>,MAXLEN,<blank>,information_schema,def,CHARACTER_SETS
<blank>,CHECK_CLAUSE,<blank>,information_schema,def,CHECK_CONSTRAINTS
<blank>,CONSTRAINT_CATALOG,<blank>,information_schema,def,CHECK_CONSTRAINTS
<blank>,CONSTRAINT_NAME,<blank>,information_schema,def,CHECK_CONSTRAINTS
<blank>,CONSTRAINT_SCHEMA,<blank>,information_schema,def,CHECK_CONSTRAINTS
<blank>,CHARACTER_SET_NAME,<blank>,information_schema,def,COLLATIONS
<blank>,COLLATION_NAME,<blank>,information_schema,def,COLLATIONS
<blank>,ID,<blank>,information_schema,def,COLLATIONS
<blank>,IS_COMPILED,<blank>,information_schema,def,COLLATIONS
<blank>,IS_DEFAULT,<blank>,information_schema,def,COLLATIONS
<blank>,PAD_ATTRIBUTE,<blank>,information_schema,def,COLLATIONS
