ENGINE,CHECKSUM,DATA_FREE,VERSION,CHECK_TIME,ROW_FORMAT,TABLE_NAME,TABLE_ROWS,TABLE_TYPE,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,TABLE_COMMENT,AUTO_INCREMENT,AVG_ROW_LENGTH,CREATE_OPTIONS,MAX_DATA_LENGTH,TABLE_COLLATION
<blank>,2021-10-20 23:50:20,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,ADMINISTRABLE_ROLE_AUTHORIZATIONS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:20,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,APPLICABLE_ROLES,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,CHARACTER_SETS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,CHECK_CONSTRAINTS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,COLLATIONS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,COLLATION_CHARACTER_SET_APPLICABILITY,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,COLUMNS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,COLUMNS_EXTENSIONS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,COLUMN_PRIVILEGES,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,COLUMN_STATISTICS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:20,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,ENABLED_ROLES,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,ENGINES,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,EVENTS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:17,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,FILES,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:22,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,INNODB_BUFFER_PAGE,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:22,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,INNODB_BUFFER_PAGE_LRU,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:22,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,INNODB_BUFFER_POOL_STATS,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
<blank>,2021-10-20 23:50:22,0,<blank>,0,information_schema,<blank>,<blank>,<blank>,0,def,<blank>,INNODB_CACHED_INDEXES,<blank>,SYSTEM VIEW,<blank>,0,<blank>,0,0,10
