TABLE_NAME,TABLE_SCHEMA,TABLE_CATALOG,ENGINE_ATTRIBUTE,SECONDARY_ENGINE_ATTRIBUTE
<blank>,<blank>,information_schema,def,ADMINISTRABLE_ROLE_AUTHORIZATIONS
<blank>,<blank>,information_schema,def,APPLICABLE_ROLES
<blank>,<blank>,information_schema,def,CHARACTER_SETS
<blank>,<blank>,information_schema,def,CHECK_CONSTRAINTS
<blank>,<blank>,information_schema,def,COLLATIONS
<blank>,<blank>,information_schema,def,COLLATION_CHARACTER_SET_APPLICABILITY
<blank>,<blank>,information_schema,def,COLUMNS
<blank>,<blank>,information_schema,def,COLUMNS_EXTENSIONS
<blank>,<blank>,information_schema,def,COLUMN_PRIVILEGES
<blank>,<blank>,information_schema,def,COLUMN_STATISTICS
<blank>,<blank>,information_schema,def,ENABLED_ROLES
<blank>,<blank>,information_schema,def,ENGINES
<blank>,<blank>,information_schema,def,EVENTS
<blank>,<blank>,information_schema,def,FILES
<blank>,<blank>,information_schema,def,INNODB_BUFFER_PAGE
<blank>,<blank>,information_schema,def,INNODB_BUFFER_PAGE_LRU
<blank>,<blank>,information_schema,def,INNODB_BUFFER_POOL_STATS
<blank>,<blank>,information_schema,def,INNODB_CACHED_INDEXES
<blank>,<blank>,information_schema,def,INNODB_CMP
<blank>,<blank>,information_schema,def,INNODB_CMPMEM
<blank>,<blank>,information_schema,def,INNODB_CMPMEM_RESET
<blank>,<blank>,information_schema,def,INNODB_CMP_PER_INDEX
<blank>,<blank>,information_schema,def,INNODB_CMP_PER_INDEX_RESET
<blank>,<blank>,information_schema,def,INNODB_CMP_RESET
<blank>,<blank>,information_schema,def,INNODB_COLUMNS
<blank>,<blank>,information_schema,def,INNODB_DATAFILES
<blank>,<blank>,information_schema,def,INNODB_FIELDS
<blank>,<blank>,information_schema,def,INNODB_FOREIGN
<blank>,<blank>,information_schema,def,INNODB_FOREIGN_COLS
<blank>,<blank>,information_schema,def,INNODB_FT_BEING_DELETED
<blank>,<blank>,information_schema,def,INNODB_FT_CONFIG
<blank>,<blank>,information_schema,def,INNODB_FT_DEFAULT_STOPWORD
<blank>,<blank>,information_schema,def,INNODB_FT_DELETED
<blank>,<blank>,information_schema,def,INNODB_FT_INDEX_CACHE
<blank>,<blank>,information_schema,def,INNODB_FT_INDEX_TABLE
<blank>,<blank>,information_schema,def,INNODB_INDEXES
<blank>,<blank>,information_schema,def,INNODB_METRICS
<blank>,<blank>,information_schema,def,INNODB_SESSION_TEMP_TABLESPACES
<blank>,<blank>,information_schema,def,INNODB_TABLES
<blank>,<blank>,information_schema,def,INNODB_TABLESPACES
<blank>,<blank>,information_schema,def,INNODB_TABLESPACES_BRIEF
<blank>,<blank>,information_schema,def,INNODB_TABLESTATS
<blank>,<blank>,information_schema,def,INNODB_TEMP_TABLE_INFO
<blank>,<blank>,information_schema,def,INNODB_TRX
<blank>,<blank>,information_schema,def,INNODB_VIRTUAL
<blank>,<blank>,information_schema,def,KEYWORDS
<blank>,<blank>,information_schema,def,KEY_COLUMN_USAGE
<blank>,<blank>,information_schema,def,OPTIMIZER_TRACE
<blank>,<blank>,information_schema,def,PARAMETERS
<blank>,<blank>,information_schema,def,PARTITIONS
<blank>,<blank>,information_schema,def,PLUGINS
<blank>,<blank>,information_schema,def,PROCESSLIST
<blank>,<blank>,information_schema,def,PROFILING
<blank>,<blank>,information_schema,def,REFERENTIAL_CONSTRAINTS
<blank>,<blank>,information_schema,def,RESOURCE_GROUPS
<blank>,<blank>,information_schema,def,ROLE_COLUMN_GRANTS
<blank>,<blank>,information_schema,def,ROLE_ROUTINE_GRANTS
<blank>,<blank>,information_schema,def,ROLE_TABLE_GRANTS
<blank>,<blank>,information_schema,def,ROUTINES
<blank>,<blank>,information_schema,def,SCHEMATA
<blank>,<blank>,information_schema,def,SCHEMATA_EXTENSIONS
<blank>,<blank>,information_schema,def,SCHEMA_PRIVILEGES
<blank>,<blank>,information_schema,def,STATISTICS
<blank>,<blank>,information_schema,def,ST_GEOMETRY_COLUMNS
<blank>,<blank>,information_schema,def,ST_SPATIAL_REFERENCE_SYSTEMS
<blank>,<blank>,information_schema,def,ST_UNITS_OF_MEASURE
<blank>,<blank>,information_schema,def,TABLES
<blank>,<blank>,information_schema,def,TABLESPACES
<blank>,<blank>,information_schema,def,TABLESPACES_EXTENSIONS
<blank>,<blank>,information_schema,def,TABLES_EXTENSIONS
<blank>,<blank>,information_schema,def,TABLE_CONSTRAINTS
<blank>,<blank>,information_schema,def,TABLE_CONSTRAINTS_EXTENSIONS
<blank>,<blank>,information_schema,def,TABLE_PRIVILEGES
<blank>,<blank>,information_schema,def,TRIGGERS
<blank>,<blank>,information_schema,def,USER_ATTRIBUTES
<blank>,<blank>,information_schema,def,USER_PRIVILEGES
<blank>,<blank>,information_schema,def,VIEWS
<blank>,<blank>,information_schema,def,VIEW_ROUTINE_USAGE
<blank>,<blank>,information_schema,def,VIEW_TABLE_USAGE
<blank>,<blank>,main,def,blog
<blank>,<blank>,main,def,blog_comments
<blank>,<blank>,main,def,user

