TABLE_NAME,TABLE_SCHEMA,SPECIFIC_NAME,TABLE_CATALOG,SPECIFIC_SCHEMA,SPECIFIC_CATALOG
x$ps_schema_table_statistics_io,sys,extract_schema_from_file_name,def,sys,def
x$ps_schema_table_statistics_io,sys,extract_table_from_file_name,def,sys,def
io_global_by_file_by_latency,sys,format_path,def,sys,def
io_global_by_file_by_bytes,sys,format_path,def,sys,def
latest_file_io,sys,format_path,def,sys,def
processlist,sys,format_statement,def,sys,def
statements_with_temp_tables,sys,format_statement,def,sys,def
statements_with_sorting,sys,format_statement,def,sys,def
statements_with_runtimes_in_95th_percentile,sys,format_statement,def,sys,def
statements_with_full_table_scans,sys,format_statement,def,sys,def
statements_with_errors_or_warnings,sys,format_statement,def,sys,def
statement_analysis,sys,format_statement,def,sys,def
schema_table_lock_waits,sys,format_statement,def,sys,def
innodb_lock_waits,sys,format_statement,def,sys,def
x$schema_table_lock_waits,sys,ps_thread_account,def,sys,def
schema_table_lock_waits,sys,ps_thread_account,def,sys,def
x$innodb_lock_waits,sys,quote_identifier,def,sys,def
innodb_lock_waits,sys,quote_identifier,def,sys,def

