VIEW_NAME,TABLE_NAME,VIEW_SCHEMA,TABLE_SCHEMA,VIEW_CATALOG,TABLE_CATALOG
innodb_buffer_stats_by_schema,INNODB_BUFFER_PAGE,sys,information_schema,def,def
x$innodb_buffer_stats_by_schema,INNODB_BUFFER_PAGE,sys,information_schema,def,def
innodb_buffer_stats_by_table,INNODB_BUFFER_PAGE,sys,information_schema,def,def
x$innodb_buffer_stats_by_table,INNODB_BUFFER_PAGE,sys,information_schema,def,def
schema_object_overview,EVENTS,sys,information_schema,def,def
schema_object_overview,ROUTINES,sys,information_schema,def,def
schema_object_overview,STATISTICS,sys,information_schema,def,def
schema_object_overview,TABLES,sys,information_schema,def,def
schema_object_overview,TRIGGERS,sys,information_schema,def,def
schema_auto_increment_columns,COLUMNS,sys,information_schema,def,def
schema_auto_increment_columns,TABLES,sys,information_schema,def,def
x$schema_flattened_keys,STATISTICS,sys,information_schema,def,def
latest_file_io,PROCESSLIST,sys,information_schema,def,def
x$latest_file_io,PROCESSLIST,sys,information_schema,def,def
innodb_lock_waits,INNODB_TRX,sys,information_schema,def,def
x$innodb_lock_waits,INNODB_TRX,sys,information_schema,def,def
schema_unused_indexes,STATISTICS,sys,information_schema,def,def
metrics,INNODB_METRICS,sys,information_schema,def,def

